Date,Exercise,SubExercise,Sets,Repetitions,Duration,Distance,Weight,Two Weights,Part of Multiset,Part of Metcon,Difficulty Level,comments
5/1/2025,Squat,Front,4,8,,,55,FALSE,FALSE,FALSE,,
5/1/2025,Bench Press,DB,4,12,,,20,TRUE,TRUE,FALSE,3,Take higher next time
5/1/2025,StepUps,Twin DB,4,14,,,12.5,TRUE,TRUE,FALSE,7,
5/1/2025,Press,Push Press,8,10,,,12.5,TRUE,FALSE,TRUE,8,
6/1/2025,Deadlift,,4,8,,,85,FALSE,FALSE,FALSE,6,
6/1/2025,Flys,Standing Reverse,3,12,,,6,TRUE,TRUE,FALSE,8,
8/1/2025,Row,Bent Over,4,8,,,50,FALSE,FALSE,FALSE,4,Take higher next time
8/1/2025,Swings,Russian,8,15,,,24,FALSE,FALSE,TRUE,4,Take higher next time
8/1/2025,Deadlift,B-Stance,3,8,,,12,TRUE,TRUE,FALSE,6,
8/1/2025,Pull Over,DB,3,10,,,20,FALSE,TRUE,FALSE,6,
12/1/2025,Hip Thrust,,4,10,,,70,FALSE,FALSE,FALSE,6,
12/1/2025,Deaflift,Single Leg,4,8,,,12,TRUE,TRUE,FALSE,6,
12/1/2025,Rope Pull,Standing 15m,5,,,15,25,FALSE,FALSE,TRUE,7,
12/1/2025,,Sitting 15m,5,,,15,25,FALSE,FALSE,TRUE,7,
12/1/2025,Bear Hug Carry,,5,,,50,30,FALSE,FALSE,TRUE,6,
13/1/2025,Press,Shoulder,4,12,,,32.5,FALSE,FALSE,TRUE,7,
13/1/2025,Squat,Bulgarian,4,10,,,16,TRUE,FALSE,TRUE,7,
13/1/2025,Squat,Cyclic,4,15,,,16,FALSE,TRUE,FALSE,7,
13/1/2025,Lateral Raises,,4,12,,,7.5,TRUE,TRUE,FALSE,7,
15/1/2025,Squat,Bear Hug,4,10,,,30,FALSE,FALSE,FALSE,5,Take higher next time
15/1/2025,Dips,Weighted,4,5,,,16,FALSE,TRUE,FALSE,8,
15/1/2025,Dips,BW,4,12,,,,FALSE,TRUE,FALSE,8,
15/1/2025,Lateral Throws,Dball,5,10,,,30,FALSE,FALSE,TRUE,7,
15/1/2025,Press,Push Press,5,12,,,12,TRUE,FALSE,TRUE,7,
16/1/2025,Deadlift,,4,12,,,70,FALSE,FALSE,FALSE,6,
16/1/2025,Row,DB,4,8,,,20,TRUE,TRUE,FALSE,5,
16/1/2025,Over The Shoulder,DBall,5,7,,,30,FALSE,FALSE,TRUE,5,Take higher next time
19/1/2025,Bench Press,,4,8,,,55,FALSE,FALSE,FALSE,6,
19/1/2025,Lunges,Walking,4,16,,,20,TRUE,TRUE,FALSE,7,
20/1/2025,Row,Twin DB,4,10,,,20,TRUE,FALSE,FALSE,7,
20/1/2025,Hip Thrust,,4,8,,,70,FALSE,TRUE,FALSE,6,
20/1/2025,Snatch,Twin DB,4,12,,,12.5,FALSE,FALSE,TRUE,5,
20/01/2025,Bear Hug Hold,,4,,40,,30,FALSE,FALSE,TRUE,5,
20/01/2025,Biceps Curl,,3,15,,,12.5,FALSE,FALSE,FALSE,6,
23/01/2025,Press,Shoulder,4,8,,,37.5,FALSE,FALSE,FALSE,7,
23/01/2025,Flys,Pecs,4,12,,,12.5,TRUE,TRUE,FALSE,6,
23/01/2025,Squat,Twin DB Front Rack,4,10,,,12,TRUE,TRUE,FALSE,5,
26/01/2025,Pull Ups,Weighted,8,3,,,16,FALSE,FALSE,TRUE,6,
26/01/2025,Swings,American,8,15,,,20,FALSE,FALSE,TRUE,6,
26/01/2025,Row,Gorilla,3,16,,,20,FALSE,TRUE,FALSE,6,
26/01/2025,Good Morning,Pause,3,8,,,20,FALSE,TRUE,FALSE,6,
28/01/2025,Deadlift,,4,10,,,85,FALSE,FALSE,FALSE,6,
28/01/2025,Carry,Mixed Grip,,,,400,16,TRUE,FALSE,FALSE,7,
29/01/2025,Bench Press,,3,15,,,50,FALSE,FALSE,FALSE,6,
29/01/2025,Press,Shoulder,3,14,,,12,FALSE,TRUE,FALSE,6,Take higher next time
1/2/2025,Row,Bent Over,4,8,,,55,FALSE,FALSE,FALSE,5,
1/2/2025,Hip Thrust,,4,12,,,75,FALSE,TRUE,FALSE,6,
1/2/2025,Over The Shoulder,DBall,15,2,,,40,FALSE,FALSE,TRUE,7,
1/2/2025,Carry,DBall,10,,,30,40,FALSE,FALSE,TRUE,7,
